"Cappadoccia, Turkey","""Adak""",2006
"Pearl Islands, Panama","""Adam Zkt. Eva""",2014
"Bhopal, India","""Adhikaar""",2004
"Montevideo, Uruguay","""Adicciones""",2011
"Atacama Desert, Chile","""Adios al septimo de linea""",2010
"Givat Shmuel, Israel","""Adumot""",2003
"Florida, USA","""Adventure Chefs""",2009
"Northwest Territories, Canada","""Adventure""",1987
"Lake Turkana, Kenya","""Adventure""",1987
"Kamchatka, Russia","""Adventure""",1987
"Ontario, Canada","""Adventures in Parenting""",1996
"New South Wales, Australia","""Adventures of the Seaspray""",1965
"MacKenzie Country, New Zealand","""Adventures of the Seaspray""",1965
"Kythira, Greece","""Adventures on Kythera""",1991
"Kilimanjaro, Tanzania","""Adventures to the Edge""",2015
"Rio de Janeiro, Brazil","""Afinando a lingua""",2008
"MalaMala Private Game Reserve, South Africa","""African Explorer""",1998
"Kalahari Desert, South Africa","""African Explorer""",1998
"Thornybush, South Africa","""African Explorer""",1998
"Kruger National Park, South Africa","""African Explorer""",1998
"Waterberg Mountains, South Africa","""African Explorer""",1998
"Amager Strand, Denmark","""Aftenshowet""",2007
"Bornholm, Denmark","""Aftenshowet""",2007
"Singapore, Singapore","""After Hours""",2007
"Seoul, South Korea","""After School Club""",2013
"Mississippi, USA","""After Sunset""",2005
"Tel Aviv, Israel","""Agadat Deshe""",2006
"Zagreb, Croatia","""Against All Odds""",1994
"Tehran, Iran","""Agate""",1988
"Tirol, Austria","""Agathe kann's nicht lassen""",2005
"Troms, Norway","""Age of Desolation""",????
"Sicily, Italy","""Agrodolce""",2008
"Ashdod, Israel","""Ahava Ze Koev""",2004
"Sanya, China","""Ai Qing Shui Xing Le""",2011
"Shanghai, China","""Ai qing gong yu""",2009
"Akita, Japan","""Ailiseu""",2009
"Galicia, Spain","""Air Galicia""",2007
"County Dublin, Ireland","""Aisling's Diary""",2008
"Jurmala, Latvia","""Aizliegtas speles""",2003
"Porvoo, Finland","""Ajoneuvos""",2006
"Espoo, Finland","""Ajoneuvos""",2006
"Turku, Finland","""Ajoneuvos""",2006
"Salo, Finland","""Ajoneuvos""",2006
"Sipoo, Finland","""Ajoneuvos""",2006
"Pori, Finland","""Ajoneuvos""",2006
"Lappeenranta, Finland","""Ajoneuvos""",2006
"Karstula, Finland","""Ajoneuvos""",2006
"Doha, Qatar","""Al Jazeera English""",2006
"Gaza, Palestine","""Al Jazeera English""",2006
"Al-Suwayda, Syria","""Al khorba""",2011
"Hacienda Carabali, Puerto Rico","""Al son del amor""",1995
"Andalusia, Spain","""Al sur del tiempo",Microespacios
"Bodrum, Turkey","""Alabora""",2014
"Alaska, USA","""Alaska Aircrash Investigations""",2016
"Brussels, Belgium","""Albert II""",2013
"Lambarene, Gabon","""Albert Schweitzer""",1987
"Alberta, Canada","""Alberta's Best is Hiring""",2007
"Frederiksberg, Denmark","""Album""",2008
"Santiago, Dominican Republic","""Alejandro en Coche""",2008
"Gothenburg, Sweden","""Alex""",2017
"Ankara, Turkey","""Alim Dayi""",1991
"Tasmania, Australia","""Alive & Kicking, Episode 3: Tamar Cats""",2008
"Edirne, Turkey","""Aliye""",2004
"Rincon, Puerto Rico","""All Four Love""",2014
"Auckland, NZ","""All Talk with Anika Moa""",2016
"Connecticut, USA","""All Things Connecticut""",2015
"Albuquerque New Mexico, USA","""Almost Americans""",????
"Bali, Indonesia","""Alohas World""",2015
"Durango, Mexico","""Alondra""",1995
"Yukon, Canada","""Alone in the Wild""",2009
"Toronto Ontario, Canada","""Alpha-Type""",2016
"New Mexico, USA","""Alter-Ego""",2011
"Queensland, Australia","""Am I Perfect?""",2017
"Magnitogorsk, Russia","""Amanda ja pelimiehet""",2017
"Florence, Italy","""Amantres""",2013
"British Columbia, Canada","""Amateur Canada""",2002
"New Brunswick, Canada","""Amateur Canada""",2002
"Catalunya, Spain","""Amazing Mask""",2008
"Amazon River, Brazil","""Amazon Abyss""",2005
"Amazonas, Brazil","""Amazon""",1984
"Tingo Maria, Peru","""Amazon""",1984
"Andoas, Peru","""Amazon""",2008
"Mamiraua Reserve, Brazil","""Amazon""",2008
"Abu Dhabi, United Arab Emirates","""Ameer al shuaraa""",2007
"Kandahar, Afghanistan","""America at a Crossroads""",2007
"Georgia, USA","""America's Most Wanted""",1988
"New Jersey, USA","""America's Next President""",2012
"Macau, China","""America's Next Top Model""",2003
"Wisconsin, USA","""America's Walking""",2002
"Clichy Sous Bois, France","""American Dream""",2015
"Washington State, USA","""American Grit""",2016
"Maine, USA","""American Loggers""",2009
"Cat Island, Bahamas","""American Masters""",1985
"Colorado, USA","""American Playhouse""",1981
"Nucourt, France","""American Playhouse""",1981
"Oulu, Finland","""Ammattimies""",2000
"Lima, Peru","""Amor serrano""",1999
"Maryland, USA","""An American Wedding""",2005
"Dettenhausen, Germany","""An Evil Man""",2012
"Cairo, Egypt","""An Idiot Abroad""",2010
"Iquitos, Peru","""An Idiot Abroad""",2010
"Easter Island, Chile","""Anakena""",1982
"La Serena, Chile","""Andrea, justicia de mujer""",1984
"Virset, Serbia","""Andrei Saguna - un Mesia al romanilor""",1998
"Fogo, Cape Verde","""Angry Planet""",2007
"Alentejo, Portugal","""Animais de Portugal""",1986
"International Tagus River, Portugal","""Animais de Portugal""",1986
"Lisbon Zoo, Portugal","""Animais""",1985
"Madeira Island, Portugal","""Animais""",1985
"Queen Elizabeth National Park, Uganda","""Animal Adventures""",1992
"Wyoming, USA","""Animal Adventures""",1992
"McMurdo Sound, Antarctica","""Animal World""",1968
"Amboseli National Park, Kenya","""Animal World""",1968
"Nairobi, Kenya","""Animal World""",1968
"Voi, Kenya","""Animal World""",1968
"Assam, India","""Animal World""",1968
"Barro Colorado Island, Panama","""Animal World""",1968
"KwaZulu-Natal, South Africa","""Animal World""",1968
"Serengeti, Tanzania","""Animal World""",1968
"Sabah, Malaysia","""Animal World""",1968
"Ngulia, Kenya","""Animal World""",1968
"Alsace, France","""Animal World""",1968
"Kinshasa, Democratic Republic Of Congo","""Animals in Love""",2015
"Drenthe, Netherlands","""Anna and the Country""",2015
"Nile River Valley, Egypt","""Anthony Bourdain: No Reservations""",2005
"Emilia Romagna, Italy","""Anthony Bourdain: No Reservations""",2005
"Beira, Mozambique","""Anthony Bourdain: No Reservations""",2005
"Chinchero, Peru","""Anthony Bourdain: No Reservations""",2005
"Sardinia, Italy","""Anthony Bourdain: No Reservations""",2005
"Oklahoma, USA","""Anti-Meth Campaign""",2012
"Ikaalinen, Finland","""Antiikkia, antiikkia""",1997
"Siikainen, Finland","""Antiikkia, antiikkia""",1997
"Lohja, Finland","""Antiikkia, antiikkia""",1997
"Hamina, Finland","""Antiikkia, antiikkia""",1997
"Rovaniemi, Finland","""Antiikkia, antiikkia""",1997
"Kokkola, Finland","""Antiikkia, antiikkia""",1997
"Kuopio, Finland","""Antiikkia, antiikkia""",1997
"Mikkeli, Finland","""Antiikkia, antiikkia""",1997
"Jyv�skyl�, Finland","""Antiikkia, antiikkia""",1997
"Inari, Finland","""Antiikkia, antiikkia""",1997
"Naantali, Finland","""Antiikkia, antiikkia""",1997
"Sonkaj�rvi, Finland","""Antiikkia, antiikkia""",1997
"Kauhava, Finland","""Antiikkia, antiikkia""",1997
"Bratislava, Slovakia","""Antiikkia, antiikkia""",1997
"Ljubljana, Slovenia","""Antiikkia, antiikkia""",1997
"Riga, Latvia","""Antiikkia, antiikkia""",1997
"Nagasaki, Japan","""Ao Haru Ride""",2014
"Yamaguchi, Japan","""Aoi sora ga suki!""",2006
"Perak, Malaysia","""Apa Dosaku: The Sybil Kathigasu Story""",2010
"Pennsylvania, USA","""Apocalypse PA""",2010
"Apulia, Italy","""Apulia Passion on the Road""",2013
"San Jos�, Costa Rica","""Aqu� Entre Nos""",1991
"Antalya, Turkey","""Arabian Nights""",2000
"Goi�s, Brazil","""Araguaia""",2010
"Arag�n, Spain","""Arag�n. El Viaje Fascinante""",2008
"Si�fok, Hungary","""Aranypart""",2011
"Washington DC,USA","""Archives of the Heart""",2015
"Qaanaaq, Greenland","""Arctic""",2011
"Windsor Ontario, Canada","""Are You Afraid of the Dark?""",1990
"Maracaibo, Venezuela","""Arena 66""",2018
"Matjiesfontein, South Africa","""Arende III: Dorsland""",1993
"Fj�rdhundra, Sweden","""Arga snickaren""",2009
"Sk�ne l�n, Sweden","""Arga snickaren""",2009
"�sbro, Sweden","""Arga snickaren""",2009
"�rby, Sweden","""Arga snickaren""",2009
"Haninge, Sweden","""Arga snickaren""",2009
"Almunge, Sweden","""Arga snickaren""",2009
"Chittagong, Bangladesh","""Arman ja viimeinen ristiretki""",2013
"Quito, Ecuador","""Arman ja viimeinen ristiretki""",2013
"Ulan Bator, Mongolia","""Arman ja viimeinen ristiretki""",2013
"Kathmandu, Nepal","""Arman ja viimeinen ristiretki""",2013
"Loppi, Finland","""Arman pohjant�hden alla""",2016
"Lahti, Finland","""Arman pohjant�hden alla""",2016
"Tornio, Finland","""Arman pohjant�hden alla""",2016
"Alexandria, Egypt","""Around the World in 80 Days""",1989/II
"Chiang Mai, Thailand","""Around the World in 80 Plates""",2012
"Abomey, Benin","""Arts du mythe""",2004
"Guimar�es, Portugal","""As Duas Irm�s""",1999
"Central Florida, USA","""As the Smoke Clears""",2017
"Antakya, Turkey","""Asi""",2007
"Mugla, Turkey","""Ask Zamani""",2015
"Chinatown, Singapore","""At Home with... Fann Wong""",2001
"Minnesota, USA","""At the Cabin""",2015
"Ceskolipsko, Czech Republic","""At zij� ryt�ri!""",2010
"Tottori, Japan","""Athena: Jeonjaeng-ui Yeoshin""",2010
"Aegaian Islands, Greece","""Athens on Location""",2004
"Atlanta, Georgia","""Atlanta""",2016
"El Guayabo, Venezuela","""Aunque mal paguen""",2007
"Currumbin Wildlife Sanctuary, Gold Coast. Australia","""Aussie Periscope Girl""",2016
"Dar es Salaam, Tanzania","""Australian Story""",1996
"Antwerpen, Belgium","""Auwch_""",2016
"Epinal, France","""Aux animaux la guerre""",2018
"Amazonas, Venezuela","""Aventura sin l�mite""",2004
"Kuala Lumpur, Malaysia","""Awan Dania""",2009
"Tunis, Tunisia","""Awled Moufida""",2015
"Bouillon, Belgium","""Axel Nort""",1966
"Conques, Belgium","""Axel Nort""",1966
"Astana, Kazakhstan","""Ayalagan Astana""",2014
"Amasra, Turkey","""Ayrilik""",2007
"Lake Balaton, Hungary","""Az emberi kaland""",2001
"Alicante, Spain","""B-thrifty, Predator""",2012
"Island of Tobago, West Indies","""BBC Play of the Month""",1965
"North Carolina, USA","""Baby Makes 3""",2016
"Melbourne Florida, USA","""Back in Black""",2017
"Mumbai, India","""Bade Bhaiyya Ki Dulhania""",2016
"Brooklyn, Nova Scotia Canada","""Bag of Bones""",2011
"Normandy, France","""Baggage Battles""",2012
"Mealhada, Portugal","""BairradaTV""",2012
"New Delhi, India","""Baked""",2015
"Arunachal Pradesh, India","""Balidaan""",2006
"Belgrade, Serbia","""Balkan Inc.""",2006
"C�te d'Azur, France","""Ballerina Belle""",2017
"Dhaka, Bangladesh","""Banged Up Abroad""",2007
"Karachi, Pakistan","""Banged Up Abroad""",2007
"TJ Quills - 7600 Maple Street New Orleans, USA","""Bar Rescue""",2011
"Cura�ao, Netherlands","""Bassie en Adriaan en de reis vol verrassingen""",1994
"Amsterdam, Netherlands","""Bastian""",2012
"Estudios Contra Campo, Portugal","""Bastidores""",2001
"Bat-Yam, Israel","""Bat Yam - New York""",1995
"Zeughaus Berlin, DHM - Deutsches Historisches Museum","""Bauen auf Vergangenheit""",2006
"Teupitz, Germany","""Bauer sucht Kultur - Unterwegs mit Dieter Moor""",2008
"Swiss Alps, Switzerland","""Bear Grylls Wild Weekends""",2011
"Northern Ireland, UK","""Beat Generation Ireland""",2010
"Nova Scotia, Canada","""Beaver Brothers""",2014
"County Galway, Ireland","""Bella Block""",1994
"Milos, Greece","""Bel�ssima""",2005
"Rhode Island, USA","""Bennight Brothers""",2013
"Sark, Channel Islands","""Bergerac""",1981
"K�pavogur, Iceland","""Bergm�li� TV""",2012
"Byneset, Norway","""Berlinerpoplene""",2007
"Svalbard, Norway","""Berserk mot Nordpolen""",2003
"Barents Sea, Arctic Ocean","""Berserk mot Nordpolen""",2003
"The North Sea, Norway","""Berserk mot Nordpolen""",2003
"Eilat, Israel","""Betoolot""",2014
"Great Whale, Canada","""Between Two Worlds""",2010
"Zwevegem, Belgium","""Bevergem""",2015
"Adana, Turkey","""Beyaz Gelincik""",2005
"Occitanie, France","""Biais""",2015
"Grutas Park, Lithuania","""Bienvenue chez...""",2007
"Hanko, Finland","""Bienvenue chez...""",2007
"Ardennes, Belgium","""Bienvenue chez...""",2007
"Nicosia, Cyprus","""Bienvenue chez...""",2007
"Casa de Campo, Dominican Republic","""Big Break Dominican Republic""",2010
"Fornebu, Norway","""Big Brother VIP""",2003
"Masai Mara, Kenya","""Big Cat Diary""",1996
"Cebu, Philippines","""Bigfoot TV""",2008
"Harbor Island, Bahamas","""Bikini Destinations""",2003
"Washington DC, USA","""Bilbainadas""",2015/I
"Bodensee, Switzerland","""Bilderbuch Deutschland""",1996
"Schengen, Luxembourg","""Bilderbuch Deutschland""",1996
"Mand�, Denmark","""Bilderbuch Deutschland""",1996
"M�n, Denmark","""Bilderbuch Deutschland""",1996
"Meuse River, Netherlands","""Bilderbuch Deutschland""",1996
"Echternach, Luxembourg","""Bilderbuch Deutschland""",1996
"Hessen, Germany","""Bilderbuch Deutschland""",1996
"Buenos Aires, Argentina","""Biograf�as de la Literatura""",2016
"Ayvalik, Turkey","""Bir Istanbul masali""",2003
"Telangana, India","""Bisket Raja: Bisket Rani""",2016
"Pula, Croatia","""Bitka za Vukovar""",2011
"Izmir, Turkey","""Bitmeyen sarki""",2010
"Liguria, Italy","""Blackout""",2014
"South Carolina, USA","""Blackville""",2017
"Hedmark, Norway","""Blanke Ark""",2009
"Munich, Germany","""Blaues Blut""",1988
"County Donegal, Ireland","""Bliain in �rainn Mh�r""",2013
"Huizingen, Belgium","""Blijf jong""",1959
"Brisbane, Australia","""Blinkers""",2015
"Slaskie, Poland","""Blisko, coraz blizej""",1983
"Escaldes-Engordany, Andorra","""Blu""",2017
"Palawan, Philippines","""Blue Lagoon""",2010
"Manitoba, Canada","""Blue's Room""",2004
"Calvados, France","""Blueprints of War""",2011
"Haifa, Israel","""Bnot Brown""",2002
"Philadelphia Pennsylvania, USA","""BoS: Knights""",2019
"Ericeira, Portugal","""Boa Sorte, Portugal""",2006
"Londerzeel, Belgium","""Bobo""",2011
"Hokkaido, Japan","""Bokudake ga Inai Machi""",2017
"Kiev, Ukraine","""Bolshiye gonki""",1999
"Algiers, Algeria","""Bonjour d'Alg�rie""",2001
"Montijo, Portugal","""Bons Vizinhos""",2002
"Iowa, USA","""Borderland""",2014
"East Africa, Africa","""Born Free""",1974
"Veszpr�m, Hungary","""Bors""",1968
"L�k�t, Hungary","""Bors""",1968
"New England, USA","""Boston Comedy Crew",BCC
"Boston Massachusetts, USA","""Boston EMS""",2015
"Eyjafj�r�ur, Iceland","""Boundless""",2013
"Nevada, USA","""Brain Games""",2011
"Riyadh, Saudi Arabia","""Breakfast""",2000
"Bretagne, France","""Breiz o veva""",1971
"Canc�n, Mexico","""Brendan's Magical Mystery Tour""",2013
"Limerick, Ireland","""Bressie's Teenage Kicks""",2014
"Agadir, Morocco","""Bridget's Sexiest Beaches""",2009
"Balsa River, Costa Rica","""Bridget's Sexiest Beaches""",2009
"Brac, Croatia","""Bridget's Sexiest Beaches""",2009
"Essaouira, Morocco","""Bridget's Sexiest Beaches""",2009
"Jaco, Costa Rica","""Bridget's Sexiest Beaches""",2009
"Kamala Beach, Thailand","""Bridget's Sexiest Beaches""",2009
"Fort George Cay, Turks and Caicos Islands","""Bridget's Sexiest Beaches""",2009
"Kansas, USA","""Broken Road""",2009
"County Cork, Ireland","""Brotherhood of the Rose""",1989
"Almaty, Kazakhstan","""Brothers in Law""",2013
"Plovdiv, Bulgaria","""Bulgaria tarsi talant""",2010
"Cancun, Mexico","""Bullit: The Documentary""",2013
"Chachapoya, Peru","""Bullit: The Documentary""",2013
"West Kalimantan, Indonesia","""Bullit: The Documentary""",2013
"Belfast, Northern Ireland","""Bullit: The Documentary""",2013
"Miami, USA","""Bullit: The Documentary""",2013
"Burbank California, USA","""Bully on the Run""",2017
"Dagget California, USA","""Bunker Z",Zulu
"Teragasaki Beach - Kanagawa Prefecture, Japan","""Burari toch� gesha no tabi""",1992
"Northern Territory, Australia","""Bush Tucker Man""",1987
"Fachhochschule St. P�lten, Austria","""C-TV campusfernsehen""",2006
"Volga river, Russia","""CBS Reports""",1959
"Davos, Switzerland","""CNBC Meets""",2011
"Surabaya, Indonesia","""CNN NewsCenter""",2012
"Sintra, Portugal","""Caixa Alta""",1989
"Glasgow, Scotland","""Caledonia Mortal Souls""",2014
"Santorini, Greece","""Calispera Greece""",1982
"Margarita Island, Venezuela","""Calypso""",1999
"Lisboa, Portugal","""Caminhos de irmandade""",2017
"Minas Gerais, Brazil","""Caminhos""",2012
"Portillo, Chile","""Caminos cruzados""",1995
"Prince Edward Island, Canada","""Canadian Pickers""",2011
"Saskatchewan, Canada","""Canadian Pickers""",2011
"Quebec, Canada","""Canadian Pickers""",2011
"Languedoc-Roussillon, France","""Capitaine Marleau""",2015
"Agdz, Morocco","""Captain Gallant of the Foreign Legion""",1955
"Bridgetown, Barbados","""Caribbean Twenty20""",2010
"Port of Spain, Trinidad & Tobago","""Caribbean's Next Top Model""",2013
"Monte Carlo, Monaco","""Carla Rubens""",2005
"Aguateca, Guatemala","""Carnets de voyage""",2007
"Missouri, USA","""Casa de Awesome""",2009
"Dubrovnik, Croatia","""Casanova""",2005
"Bethlehem, Palestine","""Catholicism""",2011
"Birkenau Concentration Camp, Poland","""Catholicism""",2011
"Delaware, USA","""Caught""",2002
"Maribor, Slovenia","""Celebrity Coach Trip""",2010
"Armstrong Island, Fiji","""Celebrity Love Island""",2005
"Paradise Island, Bahamas","""Celebrity Undercover""",2001
"Brno, Czech Republic","""Cesko Slovensko m� talent""",2010
"�st� nad Labem, Czech Republic","""Cesk� zurn�l""",2013
"Lidice, Czech Republic","""Cesk� zurn�l""",2013
"Tanvald, Czech Republic","""Cesk� zurn�l""",2013
"South Moravia, Czech Republic","""Cetn�ci z Luhacovic""",2017
"Neve Ilan, Israel","""Chadshot Arutz Shtayim""",1993
"South Australia, Australia","""Changed Forever: The Making of Australia""",2016
"Guernsey, Channel Islands","""Channel Report""",1976
"Shizuoka, Japan","""Charenjido: Sotsugy�""",2011
"Kashmir, India","""Chase""",2016
"Sint-Truiden, Belgium","""Chauss�e d'Amour""",2016
"Chandannagore, India","""Checkmate""",2012
"Western Sydney, Australia","""Cheers!""",2017
"Dolna Zdana, Slovakia","""Children of Stalinism""",2010
"Lovca, Slovakia","""Children of Stalinism""",2010
"Horn� Vernerovice, Czech Republic","""Children of Stalinism""",2010
"Slavhostice, Czech Republic","""Children of Stalinism""",2010
"Nova Paka, Czech Republic","""Children of Stalinism""",2010
"Louny, Czech Republic","""Children of Stalinism""",2010
"P�sek, Czech Republic","""Children of Stalinism""",2010
"Biger, Mongolia","""Children's Heart""",2009
"Stefanesti, Romania","""Chiquititas""",2007/I
"Yamada Ranch, Japan","""Chojin sentai Jettoman""",1991
"Hell, Norway","""Christmas Coach Trip""",2011
"Cesk� Budejovice, Czech Republic","""Chuva v akci""",2006
"Bonaire, Dutch Caribbean","""Ch�l�l�""",2017
"Mafra, Portugal","""Cidade Despida""",2010
"Rtanj, Serbia","""Ciklotron""",2000
"Carska Bara, Serbia","""Ciklotron""",2000
"Happy Hollow, USA","""Cinema Insomnia with Mr. Lobo""",2001
"Isla de Chil�e, Chile","""Cin�ma cin�mas""",1982
"Tierra del Fuego, Chile","""Cin�mas Mythiques""",2016
"Panama City, Panama","""Ciudad desnuda""",2003
"Zurich, Switzerland","""Class Clips""",2007
"Leuven, Belgium","""Click-ID""",2009
"Victoria, Australia","""Clique""",2013/II
"Sarajevo, Bosnia and Herzegovina","""Closed Course""",2016
"French Alps, France","""Coach Trip""",2005
"Salzburg, Austria","""Coach Trip""",2005
"Tomar, Portugal","""Coach Trip""",2005
"Lagos, Portugal","""Coach Trip""",2005
"Lake Garda, Italy","""Coach Trip""",2005
"Makarska, Croatia","""Coach Trip""",2005
"Zadar, Croatia","""Coach Trip""",2005
"Plitvice Lakes National Park, Croatia","""Coach Trip""",2005
"Cesky Krumlov, Czech Republic","""Coach Trip""",2005
"Styria, Austria","""Coach Trip""",2005
"Slavonski Brod, Croatia","""Coach Trip""",2005
"Nis, Serbia","""Coach Trip""",2005
"Bosphorus, Turkey","""Coach Trip""",2005
"Thessaloniki, Greece","""Coach Trip""",2005
"Delphi, Greece","""Coach Trip""",2005
"Nafplion, Greece","""Coach Trip""",2005
"Olympia, Greece","""Coach Trip""",2005
"Tozeur, Tunisia","""Coach Trip""",2005
"Sahara Desert, Tunisia","""Coach Trip""",2005
"Burgundy, France","""Coach Trip""",2005
"P�rnu, Estonia","""Coach Trip""",2005
"Kaunas, Lithuania","""Coach Trip""",2005
"Klaipeda, Lithuania","""Coach Trip""",2005
"Gy�r, Hungary","""Coach Trip""",2005
"Nitra, Slovakia","""Coach Trip""",2005
"Aarhus, Denmark","""Coach Trip""",2005
"Arta, Greece","""Coach Trip""",2005
"Aveiro, Portugal","""Coach Trip""",2005
"Bar, Montenegro","""Coach Trip""",2005
"Chefchaouen, Morocco","""Coach Trip""",2005
"Corfu, Greece","""Coach Trip""",2005
"Evora, Portugal","""Coach Trip""",2005
"Ypres, Belgium","""Coach Trip""",2005
"Fredrikstad, Norway","""Coach Trip""",2005
"Herceg Novi, Montenegro","""Coach Trip""",2005
"Ioannina, Greece","""Coach Trip""",2005
"Karlovac, Croatia","""Coach Trip""",2005
"Lake Maggiore, Italy","""Coach Trip""",2005
"Loutraki, Greece","""Coach Trip""",2005
"Malaga, Spain","""Coach Trip""",2005
"Mostar, Bosnia-Herzegovina","""Coach Trip""",2005
"Novigrad, Croatia","""Coach Trip""",2005
"Omis, Croatia","""Coach Trip""",2005
"Preveza, Greece","""Coach Trip""",2005
"Rijeka, Croatia","""Coach Trip""",2005
"Split, Croatia","""Coach Trip""",2005
"Stockholm, Sweden","""Coacherna""",2012
"Kerala, India","""Coconut Coast""",2004
"Selangor, Malaysia","""Colourful Mixture""",2000
"Teatro Vasco Santana, Portugal","""Com Peso e Medida""",1994
"Azores, Portugal","""Como uma Onda""",2004
"Jujuy, Argentina","""Como, luego existo""",2013
"Alc�cer do Sal, Portugal","""Conheces a Tua Terra?""",1991
